,
Rab,Sab
7110,2192
1306,3648
5007,6432
1507,410
1697,3864
2539,6809
8048,7297
6045,6249
8160,4485
7306,824
616,4156
9338,2078
7056,1344
4113,5271
9805,2897
4946,362
8784,4915
2276,4098
2988,9236
7708,7164
9508,5015
5673,7629
2201,9173
5819,8367
4278,2719
8428,4048
8794,5129
5519,8579
1055,6945
3794,8757
8605,2805
5521,1282
3117,2869
125,6213
4169,4635
7962,7687
783,1355
5963,941
2087,9435
5651,3291
9569,8902
9620,7863
,
Rab,Sab
7208,9232
3771,748
7587,3681
7136,2938
6307,1885
6715,3269
5095,1197
9658,5913
8404,742
6949,8807
3604,9439
1085,8245
533,692
6704,3120
3414,3574
9080,1843
2087,3039
4013,4719
7239,5487
1931,1622
7545,3749
9366,3212
8926,7498
3768,2452
8908,51
1378,5814
1783,6167
8746,8472
5127,3191
423,8332
6787,4201
4027,964
1266,2391
8505,7296
8177,5937
8971,4651
3570,7185
9822,7823
9015,1699
3501,643
9126,4121
5567,3306
2610,8151
9076,5204
3143,4192
7617,2895
49,8756
4043,8104
9929,9096
4565,4315
988,2008
878,1438
8708,2173
,
Rab,Sab
6115,9159
1938,3610
608,7087
3880,4528
1363,2047
5530,7068
5403,2982
6090,1074
9157,1824
1057,3170
8750,3560
8334,574
2388,5693
8219,490
149,7453
3610,8312
5485,1169
1094,4724
180,7608
8736,3060
7656,1229
3463,9589
2638,4035
8669,1471
6607,2551
767,5716
9983,8238
2066,1597
3098,2756
8421,8780
1369,2319
1920,4297
1900,3644
394,8062
4996,5054
6075,7401
3802,678
5890,2945
1792,7282
5145,8426
7742,5468
7132,7634
354,6235
3103,4757
6823,9165
4569,1428
5930,2920
388,7890
5503,1168
4588,9022
7308,3201
3695,1301
,
Rab,Sab
9735,5248
5369,3899
5885,7037
575,643
96,789
658,1755
6808,3342
113,3205
1721,2747
3967,2326
7319,6049
9103,8696
5790,996
6231,7395
6066,5080
622,7984
2989,2734
9024,6221
308,4389
8604,7580
1163,2559
8341,663
2741,634
1816,4476
8242,199
599,7521
4531,9778
2308,2232
9688,44
6555,6
4584,2316
9389,9479
3374,9539
157,3467
8902,2140
6188,151
635,431
3028,3181
8948,4535
456,5446
6504,9423
1364,6361
7567,1399
2834,782
